hyp	tgt
Wenn wir also etwas mit Städten tun können, ist das eine große Sache.	"Wenn wir also etwas mit den Städten machen, ist das eine große Sache."
Jenseits der Städte beginnt das ganze Sensieren und Aktivieren, unsere Alltagsgegenstände.	"Über die Städte hinaus, zieht all dieses Wahrnehmen und Antreiben in Objekte des täglichen Lebens ein."
Das ist aus einer Ausstellung, die Paola Antonelli im Sommer am MoMA organisiert.	"Das ist von einer Ausstellung, die Paola Antonelli für MoMA später im Jahr, während des Sommers, organisiert."
Guten Abend, Leute. Ich habe etwas, das ich Ihnen zeigen möchte.	"Guten Tag, alle zusammen. Ich habe hier etwas, das ich Ihnen zeigen möchte. (Gelächter) Denken Sie sich dies als Bildpunkt, als fliegenden Bildpunkt."
Nun, unsere Objekte, unsere Umwelt beginnt, mit uns zu antworten.	"Es heißt ""Sprich mit mir."" Nun, all unsere Objekte, unsere Umwelt, fangen an, zu uns zurück zu sprechen."
In gewissem Sinne ist es fast so, als würde jedes Atom dort draußen sowohl ein Sensor als auch ein Aktuator.	"In einem gewissen Sinn, ist es fast so als ob jedes Atom da draußen zu beiden wird, einem Sensor und einem Antreiber."
Und das verändert radikal die Art und Weise, wie wir Menschen mit unserer Umwelt interagieren.	"Und das verändert radikal die Interaktion, die wir Menschen mit unserer Umwelt draußen haben."
In gewissem Sinne ist es fast so, als wäre der alte Traum von Michelangelo wahr geworden, wissen Sie, als Michelangelo den Moses geschnitzt hat, am Ende sagte es, dass er den Hammer nahm und ihn auf den Moses schlug – eigentlich kann man noch einen kleinen Splitter am Knie sehen – und sagte, schrie, „Paradiso.“	"In gewisser Weise, ist es fast als ob der alte Traum von Michelangelo... wissen Sie, als Michelangelo den Moses formte, heißt es, dass er am Ende den Hammer nahm und ihn auf Moses warf – tatsächlich können Sie immer noch eine kleine Stelle untendrunter sehen – und sagte, rief, ""Perché non parli?"
Warum sprichst du nicht? Nun, heute, zum ersten Mal, beginnt unsere Umwelt mit uns zu reden.	"Warum sprichst du nicht? ""Nun, heute, fängt unsere Umwelt zum allerersten Mal an, uns zu antworten."
Nur ein paar Beispiele, wieder mit der Idee, unsere Umgebung wahrzunehmen und sie zu aktivieren.	"Ich werde Ihnen nur einige Beispiele zeigen – nochmal, mit der Idee unsere Umwelt wahrzunehmen und anzutreiben."
Nun, das erste Projekt, das ich mit Ihnen teilen wollte, ist eines der ersten Projekte unseres Labors.	"Nun das erste Projekt, das ich Ihnen vorstellen möchte ist in Wahrheit eines der ersten unseres Labors."
Es war vor viereinhalb Jahren in Italien.	Es entstand vor viereinhalb Jahren in Italien.
Und was wir dort taten, war tatsächlich eine neue Art von Netzwerk zu benutzen, das zu der Zeit, als es eingesetzt wurde, überall auf der Welt eingesetzt wurde. Das ist ein Mobilfunknetzwerk. Und wir benutzten anonyme und aggregierte Informationen aus diesem Netzwerk, die sowieso von den Anbietern gesammelt werden, um zu verstehen, wie die Stadt funktioniert.	"Und was wir da getan haben, war eigentlich eine damals neue Art von Netzwerk zu nutzen, das auf der ganzen Welt eingesetzt wurde – das ist ein Mobiltelefonnetz – und anonyme und aggregierte Information aus diesem Netzwerk zu nutzen, die ohnehin vom Betreiber gesammelt werden, um zu verstehen wie die Stadt funktioniert."
Der Sommer 2006 war ein glücklicher Sommer.	Der Sommer war ein glücklicher Sommer – 2006.
Damals gewann Italien die Fußballweltmeisterschaft.	Es war als Italien die Fußball-Weltmeisterschaft gewann.
Einige von Ihnen erinnern sich vielleicht, dass Italien und Frankreich spielten und dann Zidane am Ende den Kopfball.	"Einige von Ihnen werden sich erinnern, es war als Italien gegen Frankreich spielte, und dann am Ende Zidane, der Kopfstoß."
Wie auch immer, Italien gewann am Ende.	"Und egal, Italien hat am Ende gewonnen"
Schauen Sie sich an, was an diesem Tag passierte, nur weil eine Aktivität im Netzwerk stattfand.	"Jetzt sehen Sie sich an was an diesem Tag passierte, nur beim Beobachten der Aktivität, die im Netzwerk passiert."
Hier sehen Sie die Stadt.	Hier sehen Sie die Stadt.
Sie sehen das Kolosseum in der Mitte, den Fluss Tiber.	"Sie sehen in der Mitte das Kolosseum, den Fluß Tiber."
Es ist morgens vor dem Spiel.	"Am Morgen, vor dem Spiel."
Sie sehen die Zeitachse oben.	Sie sehen oben die Zeitachse.
Am frühen Nachmittag machen Menschen hier und da Anrufe und bewegen sich.	"Früher Nachmittag, Menschen hier und da, die Anrufe tätigen und sich bewegen."
Das Spiel beginnt. Stille. Frankreich schießt. Italien schießt. Halbzeit. Die Leute machen einen kurzen Anruf und gehen zur Toilette.	"Das Spiel fängt an – Schweigen. Frankreich macht ein Tor. Italien macht ein Tor. Halbzeit, die Menschen machen einen kurzen Anruf, gehen auf Toilette. Zweite Halbzeit. Ende der normalen Spielzeit."
Erstens: Zeit.	"Erste Verlängerung, zweite."
Ich glaube, Zidane wird gleich den Kopf stoßen. (Lachen) Italien gewinnt. Ja. (Lachen) (Applaus) Nun, an diesem Abend feierte jeder im Zentrum.	"Zidane, in einem Augenblick der Kopfstoß. Italien gewinnt. Yeah. (Gelächter) (Applaus) Nun, in dieser Nacht, gingen alle ins Zentrum um zu feiern."
Sie haben den großen Pickel gesehen.	Sie sahen den großen Ausschlag.
Am nächsten Tag ging jeder zum Zentrum, um das gewinnende Team und den damaligen Premierminister zu treffen.	"Am nächsten Tag, gingen alle ins Zentrum um das Siegerteam und den Premierminister zu selben Zeit zu treffen."
Und jeder bewegte sich nach unten.	Und dann gingen alle hinunter.
Ich sitze auf dem Bild an einem Ort namens Chiribiquete, wo seit römischer Zeit Leute hingehen, um zu feiern, um einen großen Park zu haben, sehen Sie den Gipfel am Ende des Tages.	"Sie sehen das Bild des Platzes Circo Massimo, wo, seit der römischen Zeit, die Menschen zum feiern hingehen – um eine große Party zu haben, und Sie sehen den Ausschlag am Ende des Tages."
Nun, das ist nur ein Beispiel, wie wir die Stadt heutzutage wahrnehmen können, auf eine Weise, die wir vor ein paar Jahren nicht hätten tun können.	"Nun, das ist nur ein Beispiel, wie wir heute die Stadt spüren können, auf eine Art und Weise wie wir es vor einigen Jahren nicht konnten."
Ein weiteres kurzes Beispiel über Sensing, es geht nicht um Menschen, sondern um Dinge, die wir verwenden und konsumieren.	"Noch schnell ein anderes Beispiel für Spüren: hier geht es nicht um Menschen, sondern um Dinge, die wir benutzen und konsumieren."
Heute wissen wir alles darüber, wo unsere Objekte herkommen.	"Nun, heutzutage wissen wir alles darüber woher unsere Sachen kommen."
Dies ist eine Karte, die Ihnen alle Chips zeigt, die einen Mac Computer bilden, wie sie zusammengesetzt wurden.	"Dies ist eine Karte, die Ihnen all die Chips zeigt, aus denen ein Mac Computer besteht, wie sie zusammen kamen."
Aber wir wissen sehr wenig darüber, wo Dinge hingehen.	"Aber wir wissen nur wenig darüber, wo die Sachen hingehen."
In diesem Projekt haben wir kleine Anhänger entwickelt, um Müll zu verfolgen, während er sich durch das System bewegt.	Also haben wir in diesem Projekt tatsächlich einige kleine Marker entworfen um den Müll zu verfolgen während er durch das System geht.
Wir begannen also mit einigen Freiwilligen, die uns vor über einem Jahr in Seattle geholfen haben, die Dinge zu markieren, die sie wegwarfen, verschiedene Dinge, wie Sie hier sehen können, Dinge, die sie sowieso wegwarfen.	"Wir haben also mit einigen Freiwilligen angefangen, die uns, vor etwas mehr als einem Jahr, in Seattle geholfen haben, die Dinge zu markieren, die sie wegwarfen – verschiedene Arten von Dingen, wie Sie sehen können – Dinge, die sie ohnehin wegwerfen würden."
Wir setzen einen kleinen Chip, einen kleinen Anhänger, auf den Abfall und verfolgen ihn dann.	"Dann haben wir die kleinen Chips, die kleinen Marken, auf den Müll geklebt und angefangen ihn zu verfolgen."
Hier sind die Ergebnisse, die wir gerade erhalten haben.	"Hier sind die Ergebnisse, die wir gerade bekommen haben."
Wir sind hier.	Von Seattle... nach einer Woche.
Wir erkennen, dass es eine Menge Ineffizienz im System gibt.	"Mit dieser Information erkannten wir, dass es eine Menge Ineffizienzen im System gibt."
Wir können das Gleiche tun, aber mit viel weniger Energie.	Wir können die gleichen Dinge in der Tat mit weniger Energie machen.
Diese Daten waren vorher nicht verfügbar.	Die Daten waren vorher nicht verfügbar.
Es gibt eine Menge verschwendete Transportmittel und verschmolzene Dinge.	Aber das passieren eine Menge unnützer Transporte und komplizierter Dinge.
Die andere Sache ist, dass wir glauben, dass tatsächlich, wenn wir jeden Tag sehen, die Kappe, die wir wegwerfen, nicht verschwindet, sondern irgendwo auf dem Planeten ist.	"Die andere Sache aber ist, dass wir glauben, dass wenn wir jeden Tag sehen, dass die Tasse, die wir wegwerfen, nicht einfach verschwindet, dass sie immer noch irgendwo auf dem Planeten ist."
"Das nennen wir in unserem Labor ""sinnvolles Design""."	"Das ist, was wir in unserem Labor, wahrnehmbares Design nennen."
Die Plastikflaschen, die wir täglich wegwerfen, sind immer noch da.	"Und die Plastikflasche, die wir jeden Tag wegwerfen immer noch da bleibt."
Wenn wir das den Leuten zeigen, können wir auch Verhaltensänderungen fördern.	"Und wenn wir das den Menschen zeigen würden, dann können wir eine Verhaltensänderung vorantreiben."
Das war der Grund für das Projekt.	Das ist also der Grund für dieses Projekt.
Mein Kollege Timothy Biderman könnte Ihnen viel mehr über die Wahrnehmung und viele andere wunderbare Dinge erzählen, die wir mit der Wahrnehmung machen können, aber ich möchte zum zweiten Teil kommen, über den wir am Anfang gesprochen haben, und das ist die Umsetzung unserer Umwelt.	"Mein Kollege an der MIT, Assaf Biderman, könnte Ihnen noch viel mehr über das Wahrnehmen und die vielen anderen wunderbaren Dinge, die man mit Wahrnehmen machen kann, erzählen, aber ich möchte gerne auf den zweiten Teil zu sprechen kommen, den wir am Anfang diskutierten und das ist die Betätigung unserer Umwelt."
Das erste Projekt ist etwas, das wir vor ein paar Jahren in Saragossa, Spanien, gemacht haben.	"Und das erste Projekt ist etwas, dass wir vor ein paar Jahren in Zaragoza, Spanien gemacht haben."
Es begann mit einer Frage des Bürgermeisters der Stadt, der zu uns kam und sagte, dass Spanien und Südeuropa eine schöne Tradition haben, Wasser im öffentlichen Raum zu nutzen, in der Architektur.	"Es fing mit einer Frage des Bürgermeisters an, der zu uns kam und sagte, dass Spanien und Südeuropa eine schöne Tradition haben, an öffentlichen Orten Wasser als Teil der Architektur zu nutzen."
Lassen Sie mich Ihnen ein wenig davon erzählen.	Lassen Sie mich Ihnen ein wenig darüber erzählen.
Und die Frage war: Wie könnte Technologie, neue Technologie, hinzukommen?	"Und die Frage war: Wie könnte man Technologie, neue Technologie damit verbinden?"
Wenn Sie dieses Bild anschauen, ich bin italienischer Herkunft und jeder in Italien wächst mit diesem Bild an der Wand seines Schlafzimmers auf. (Gelächter) Aber der Grund, warum ich Ihnen das zeige, ist, dass etwas sehr Interessantes im Formel-1-Rennen in den letzten paar Jahrzehnten passiert ist.	"Wenn Sie nun dieses Bild nehmen – ich bin ursprünglich Italiener, und jeder Junge in Italien wächst mit diesem Bild in seinem Zimmer auf. Aber der Grund, warum ich Ihnen dies zeige ist, das in der Formel 1 in den vergangenen Jahrzehnten etwas sehr Interessantes geschah."
Eine dieser Ideen wurde in einem Workshop am MIT entwickelt. Stellen Sie sich vor, Sie haben diese Röhre, und Sie haben Ventile, Ventile, die sich öffnen und schließen.	"Und eine der Ideen, die am MIT in einem Arbeitskreis ermittelt wurden, war, stellen Sie sich diese Schläuche vor, und Ventile, Magnetventile, Klappen, die sich öffnen und schließen."
Man erstellt einen Wasservorhang mit Wasserpixeln.	Sie verursachen so was wie einen Wasservorhang mit Bildpunkten aus Wasser.
Diese Pixel fallen und man kann darauf schreiben, Muster zeigen, Bilder, Text.	"Wenn diese Bildpunkte herunterfallen, können Sie darauf schreiben, können Sie Muster, Bilder, Text anzeigen."
Und selbst wenn man es anfährt, wird es sich öffnen, so dass man hindurch springen kann, wie Sie auf diesem Bild sehen.	"Und Sie können sich ihm nähern, und er wird sich öffnen, um Sie durchspringen zu lassen, wie Sie auf diesem Bild sehen können."
Nun, wir präsentierten dies Bürgermeister Bellotto.	"Nun, wir haben das Bürgermeister Belloch vorgestellt."
Er mochte es sehr.	Es hat ihm sehr gefallen.
Und wir bekamen den Auftrag, ein Gebäude am Eingang des Expo zu entwerfen.	Und wir bekamen den Auftrag ein Gebäude beim Eingang der Expo zu entwerfen.
Wir nannten es das Digital Water Pavilion.	Wir nannten es den Digitalen Wasser Pavillion.
Das ganze Gebäude besteht aus Wasser.	Das ganze Gebäude bestand aus Wasser.
Es gibt keine Türen oder Fenster, aber wenn man sich nähert, öffnet es sich, um einen hereinzulassen. (Musik) Das Dach ist auch mit Wasser bedeckt.	"Es gibt keine Türen oder Fenster, aber wenn Sie sich ihm nähern, wird es sich öffnen und Sie hinein lassen. (Musik) Das Dach war ebenfalls mit Wasser bedeckt."
Wenn es ein bisschen Wind gibt, wenn man das Plätschern minimieren will, kann man das Dach tatsächlich senken.	"Und wenn es windig ist, wenn Sie das Spritzen verringern wollen, können Sie sogar das Dach herunter lassen."
Oder man könnte das Gebäude schließen und die ganze Architektur verschwinden lassen, wie in diesem Fall.	"Oder Sie könnten das Gebäude schließen und die ganze Architektur wird, wie in diesem Fall, verschwinden."
Wissen Sie, heutzutage bekomme ich immer E-Mails im Winter, wenn sie das Dach abnehmen, von Leuten, die dort gewesen sind und sagen: „Wissen Sie, sie haben das Gebäude abgerissen.“ Und ich sage: „Nein, sie haben es nicht abgerissen, es ist nur so, dass die Architektur fast verschwindet.	"Wissen Sie, dieser Tage, wenn Sie das Dach herunterfahren, bekommen Sie Bilder von Menschen, die da waren und sagen, ""Sie haben das Gebäude zerstört."" Nein, sie haben das Gebäude nicht zerstört, es ist nur so, dass die Architektur beinahe verschwindet."
Hier arbeitet das Gebäude.	"Hier sehen Sie, wie das Gebäude funktioniert."
Sie sehen, dass die Person verwirrt ist, was da drin passiert.	"Sie sehen die Person, die sich fragt, was im Inneren passiert."
Hier versuchte ich, nicht nass zu werden, indem ich die Sensoren testete, die das Wasser öffneten.	"Und hier sehen Sie mich, als ich versuchte beim Testen der Sensoren, die das Wasser öffneten, nicht nass zu werden."
Nun, ich sollte Ihnen erzählen, was eines Nachts passierte, als alle Sensoren nicht mehr funktionierten.	"Nun, sollte ich Ihnen erzählen, was eines Nachts passierte als alle Sensoren aufhörten zu funktionieren."
Aber tatsächlich war diese Nacht noch viel lustiger.	Aber eigentlich war es in dieser Nacht ein noch größerer Spaß.
Die Kinder aus Caracas kamen in das Gebäude, weil die Art, sich mit dem Gebäude zu beschäftigen, etwas anderes wurde.	"Alle Kinder aus Zaragoza kamen zu dem Gebäude, denn die Art wie sie mit dem Gebäude spielten war ganz anders."
Es ist kein Gebäude mehr, das sich öffnet, um einen hereinzulassen, sondern ein Gebäude, das immer noch Schnitte und Löcher durch das Wasser macht, und man muss springen, ohne ins Wasser zu gehen. (Applaus)	"Nicht länger ein Gebäude, das sich öffnen würde um Sie ein zu lassen, aber ein Gebäude, das immer noch Pausen und Löcher im Wasser hatte, man musste jetzt springen ohne nass zu werden."
Für uns war das sehr interessant, denn als Architekten, als Ingenieure, als Designer, denken wir immer darüber nach, wie Menschen die Dinge nutzen werden, die wir entwerfen.	"Und das war, für uns, sehr spannend, denn als Architekten, Ingenieure, als Designer, denken wir immer darüber nach, wie die Menschen, die Dinge nutzen, die wir entwerfen."
Aber die Realität ist immer unvorhersehbar.	Aber die Realität ist immer unvorhersehbar.
Und das ist das Schöne daran, Dinge zu tun, die benutzt und mit Menschen interagiert werden.	"Und das ist das Schöne daran, Dinge zu kreieren, die benutzt werden und mit den Menschen interagieren."
Nun, vor einiger Zeit, wenn man einen Formel-1-Rennen gewinnen wollte, nahm man ein Budget und setzte sein Budget auf einen guten Fahrer und ein gutes Auto.	"Vor einiger Zeit war es so, dass wenn Sie ein Formel 1 Rennen gewinnen wollten, dann nahmen Sie Ihr Budget und setzten Ihr Geld auf einen guten Fahrer und ein gutes Auto."
Hier sehen Sie ein Bild des Gebäudes mit den physischen Pixeln, den Pixeln aus Wasser, und dann Projektionen darauf.	"Hier ist nun ein Bild des Gebäudes mit den physischen Bildpunkten, den Bildpunkten aus Wasser und die Projektionen darauf."
Und das führte uns dazu, über das folgende Projekt nachzudenken, das ich Ihnen jetzt zeige.	"Und dies ist es, was uns darauf brachte über das folgende Projekt nachzudenken, das ich Ihnen jetzt zeige."
Stellen Sie sich vor, diese Pixel könnten tatsächlich fliegen.	Stellen Sie sich vor diese Bildpunkte könnten wirklich anfangen zu fliegen.
Stellen Sie sich vor, man könnte kleine Hubschrauber haben, die sich in der Luft bewegen, und dann jeder dieser Hubschrauber mit einem kleinen Pixel und wechselndem Licht, fast wie eine Wolke, die sich im Raum bewegen kann.	"Stellen Sie sich vor, Sie könnten kleine Hubschrauber haben, die durch die Luft fliegen, und jeder von Ihnen mit einem kleinen Bildpunkt mit wechselndem Licht – fast so wie eine Wolke die sich durch den Raum bewegen kann."
Hier ist die Idee.	Hier ist das Video.
Stellen Sie sich einen Helikopter vor, wie den, den wir vorher gesehen haben, der sich mit anderen synchronisiert.	"Stellen Sie sich einen Hubschrauber vor, wie den, den Sie vorhin gesehen haben, der sich mit anderen bewegt, vollkommen synchron."
Man kann also diese Wolke haben.	Sie können diese Wolke haben.
Man kann einen flexiblen Bildschirm haben, wie diesen , eine normale Konfiguration in zwei Dimensionen.	"Sie können eine Art flexiblen Bildschirm oder Anzeige haben, wie diese – eine gleichmäßige Formation in zwei Dimensionen."
Oder in regelmäßigen, dreidimensionalen Strukturen, wo wir den Lichteinfall verändern, nicht die Position der Pixel.	"Oder unregelmäßig aber in drei Dimensionen, bei der das, was sich ändert, das Licht ist, nicht die Position der Bildpunkte."
♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫	Sie können mit verschiedenen Arten spielen.
Stellen Sie sich vor, Ihr Bildschirm könnte einfach in verschiedenen Größen erscheinen, mit einer anderen Auflösung.	"Stellen Sie sich vor der Bildschirm könnte einfach in unterschiedlichen Formaten oder Größen erscheinen, in unterschiedlichen Auflösungen."
Und wenn das Auto und der Fahrer gut genug waren, gewann man die Rennen.	"Und wenn das Auto und der Fahrer gut genug waren, dann gewannen Sie das Rennen."
Aber dann begann die ganze Sache als 3D-Wolke von Pixeln, die man sich nähern und durchqueren kann und von vielen verschiedenen Richtungen aus betrachtet werden kann.	"Aber dann könnte das ganze nur eine 3D Wolke aus Bildpunkten sein, auf die Sie zugehen können und durch die Sie sich hindurch bewegen, die sie aus vielen, vielen Richtungen betrachten können."
Hier ist der echte Flieger, der kontrolliert und nach unten geht, wie vorher.	"Hier sehen Sie eine echte Flyfire-Steuerung, die herabsinkt um wie zuvor ein gleichmäßiges V zu formen."
Wenn man heute ein Windrad haben will, braucht man auch so etwas, etwas, das das Auto in Echtzeit überwacht, mit ein paar tausend Sensoren, die Informationen vom Auto sammeln und diese Informationen in dieses System übertragen und dann verarbeiten und nutzen, um mit Entscheidungen zurück zum Auto zu gehen und Dinge in Echtzeit zu verändern, während Informationen gesammelt werden.	"Nun heutzutage, benötigen Sie, wenn Sie ein Rennen gewinnen wollen, tatsächlich so etwas wie dieses hier – etwas was das Auto in Echtzeit überwacht, einige tausend Sensoren hat, die Informationen aus dem Auto, diese Informationen an das System weitergeben und sie dann verarbeiten und diese dann nutzen um diesem Auto Entscheidungen zurück zu senden und Dinge in Echtzeit verändern während Information gesammelt werden."
Wenn Sie das Licht anmachen, sehen Sie das hier.	"Wenn Sie das Licht einschalten, sieht es so aus."
Das Gleiche wie vorher.	"Also genauso, wie wir es vorher gesehen haben."
Stellen Sie sich vor, dass jeder von ihnen von Menschen kontrolliert wird.	"Stellen Sie sich vor, dass jedes einzelne von Menschen gesteuert wird."
Jedes Pixel kann einen Input haben, der von Menschen kommt, von Menschenbewegungen oder so.	"Es könnte jeder einzelne Bildpunkt einen Impuls haben, der von Menschen kommt, von den Bewegungen der Menschen oder dergleichen."
Ich wollte Ihnen etwas hier zum ersten Mal zeigen.	Ich möchte Ihnen hier etwas zu allererst zeigen.
Wir haben mit Robert Lepage gearbeitet, einem der besten Balletttänzer der Welt, der in der Metropolitan Opera in New York und La Scala in Mailand arbeitet, und tatsächlich seine Bewegungen in 3D aufgezeichnet, um sie als Input für die Computergrafik zu verwenden.	"Wir haben mit Roberto Bolle gearbeitet, einem der besten Balletttänzer unserer Zeit – dem Étoile am Metropolitan Theater in New York und der Scala in Mailand – wir haben seine Bewegungen in 3D aufgenommen um sie als Impuls für das Flyfire zu nutzen."
Und hier können Sie Robert Downey Jr. sehen.	Hier sehen Sie Roberto tanzen.
Links sehen Sie die Pixel mit einer anderen Auflösung, die aufgenommen wurden.	"Auf der linken Seite sehen Sie die Bildpunkte, die verschiedenen eingefangenen Eindrücke."
Es ist sowohl 3D-Scanning in Echtzeit als auch Motion Capture.	Es ist gleichzeitig ein Echtzeit-3D-Scan und eine Bewegungsaufnahme.
So kann man die ganze Bewegung rekonstruieren.	So dass Sie die ganze Bewegung nachvollziehen können.
Du kannst den Weg zurück gehen.	Sie können das die ganze Zeit machen.
Dann, wenn man die Bilder hat, kann man mit ihnen spielen und mit Farbe und Bewegung und Schwerkraft und Rotation spielen.	"Aber dann, wenn wir einmal alle Bildpunkte haben, können Sie damit spielen und mit Farbe Bewegung Schwerkraft und Drehbewegung spielen."
Wir wollen dies als einen möglichen Input für Fliegenfalle nutzen.	Das möchten wir als einen möglichen Impuls für das Flyfire nutzen.
Ich möchte Ihnen das letzte Projekt zeigen, an dem wir arbeiten.	Ich möchte Ihnen das neueste Projekt zeigen an dem wir arbeiten.
Es ist etwas, an dem wir für die Olympischen Spiele in London arbeiten.	"Es ist etwas, an dem wir für die Olympischen Spiele in London arbeiten."
"Es heißt ""The Cloud""."	Es nennt sich The Cloud – die Wolke.
Stellen Sie sich vor, dass wir wieder Menschen einbeziehen können, um etwas zu tun, unsere Umwelt zu verändern, fast das, was wir Barn-Raising nennen, wie Barn-Raising, aber mit einer Wolke.	"Die Idee ist wiederum, stellen Sie sich das vor, das wir wieder die Menschen mit einbeziehen um etwas zu tun und die Umwelt zu verändern – fast so etwas, wie wir es nennen, Wolkenbewegung einzubauen wie man ein Scheunentor bewegt, aber mit einer Wolke."
Stellen Sie sich vor, jeder könnte eine kleine Spende für ein Bild machen.	"Stellen Sie sich vor, dass jeder eine kleine Spende für einen Bildpunkt geben kann."
Und wissen Sie, ich denke, was bemerkenswert ist, was in den letzten paar Jahren passiert ist, ist, dass wir in den letzten paar Jahrzehnten von der physischen Welt zur digitalen übergegangen sind.	"Ich denke, dass das Bemerkenswerte der der Geschehnisse letzten Jahre, der letzten Jahrzehnte ist, dass wir von einer physikalischen zu einer digitalen Welt gewechselt sind."
Es wurde alles digitalisiert und durch das Internet zugänglich gemacht.	"Das hat alles digitalisiert, Wissen, und macht es durch das Internet zugänglich."
Heute zum ersten Mal zeigte uns die Obama-Kampagne, dass wir von der digitalen Kriegsführung, von der selbstorganisierten Kraft der Netzwerke, zur physischen kommen können.	"Heutzutage, können wir zum ersten Mal – und die Kampagne Obamas hat das gezeigt – können wir von der digitalen Welt, von den sich selbstorganisierenden Kräften der Netzwerke zu der physikalischen Welt wechseln."
In unserem Fall wollen wir es nutzen, um ein Symbol zu entwerfen.	"Das kann, in unserem Fall sein, dass wir es benutzen um zu Designen und ein Symbol zu schaffen."
Sie bauen etwas in einer Stadt.	Das heißt etwas was in der Stadt gebaut ist.
Aber morgen kann es in der Lage sein, die heutigen Herausforderungen anzugehen, denken Sie an den Klimawandel oder CO2-Emissionen, wie wir von der digitalen in die physische Welt kommen können.	"Aber morgen kann es, um uns den kommenden Herausforderungen zu stellen – denken Sie da an den Klimawandel oder die CO2 Emissionen – wie können wir dann von der digitalen Welt zur physikalischen wechseln."
Die Idee ist also, können wir die Leute dazu bringen, diese Sache gemeinsam zu tun?	"Die Idee ist also, dass wir tatsächlich die Menschen mit einbeziehen, in dem sie Dinge zusammen, kollektiv tun."
Eine Wolke ist eine Wolke, wieder Mayday Pixel, genauso wie eine echte Wolke eine Wolke aus Partikeln ist.	"Die Wolke ist wieder eine Wolke aus Bildpunkten, in der gleichen Weise wie eine wirkliche Wolke eine Wolke aus Partikeln ist."
Und diese Partikel sind Wasser, wo unsere Wolke eine Pixelwolke ist.	"Und diese Partikel sind Wasser, während unsere Wolke eine Wolke aus Bildpunkten ist."
Die physische Struktur in London, aber bedeckt mit Pixeln.	"Es ist ein physikalisches Gebilde in London, aber mit Bildpunkten bedeckt."
Man kann sich hinein bewegen mit verschiedenen Arten von Erfahrungen.	Sie können sich innen bewegen und verschiedene Arten von Erfahrungen machen.
Man kann es tatsächlich von unten sehen, die Hauptmomente der Olympischen Spiele 2012 und darüber hinaus teilen, und es wirklich als eine Möglichkeit nutzen, sich mit der Gemeinschaft zu verbinden.	"Sie können es Sie tatsächlich von unten ansehen, die wichtigsten Momente für Olympia 2012 und darüberhinaus teilen, und es als Art der Verbindung zur Gemeinschaft nutzen."
Also , sowohl eine physische Wolke in den Himmel, als auch etwas, das man zur Spitze gehen kann, wie Londons neuer Bergspitze, man kann hineingehen, und eine Art neuer digitaler Leuchtturm für die Nacht, aber am wichtigsten, eine neue Art von Erfahrung für jeden, der zur Spitze gehen wird.	"Also beides, die physikalische Wolke im Himmel und etwas an dessen Spitze Sie hingehen können, wie Londons neuer Berggipfel. Sie können hineingehen. Und eine Art digitaler Leuchtturm in der Nacht – aber als Allerwichtigstes, eine neue Art der Erfahrung für alle, die an die Spitze gehen wollen."
Danke.	Danke.
In technischer Sprache nennt man das ein Echtzeit-Kontrollsystem.	"Dies würden Sie, in Ingenieurteams, eine Echtzeit-Kontrollsystem nennen."
Es ist egal, wo Sie sind, Bombay, Mexiko, es ist egal.	"Es spielt keine Rolle, wo Sie sind – Bombay, Mexico, es macht keinen Unterschied."
Man bewegt sich, man hat Spaß.	Man geht umher und amüsiert sich.
Wollen Sie sich im Museum zurechtfinden?	Sie wollen sich im Museum orientieren?
Man öffnet den Plan und mit einem Klick springt man hinein.	"Öffnen Sie die Karte, und springen Sie mit einem Klick."
Man ist dort, man möchte zum Ende des Korridors gehen, mach weiter, habe Spaß, erforsche.	"Drin sind Sie, Sie wollen bis ans Ende des Gangs. Nur weiter. Viel Spaß. Stöbern Sie."
Danke, ich bin noch nicht am besten Teil.	"Danke, aber das Beste kommt noch."
Jetzt stehe ich vor einem meiner Lieblingsgemälde, „Die Ernte“ von Pieter Bruegel im MET.	"Nun bin ich also vor einem meiner Lieblingsbilder, Erntearbeiter von Pieter Breugel in der Met."
Ich sehe dieses Pluszeichen.	Ich sehe dieses Pluszeichen.
Wenn das Museum uns das Bild gegeben hat, klicken Sie darauf.	"Wenn das Museum uns das Bild gegeben hat, klicken Sie darauf."
Das ist eines der Bilder.	Dies ist nun eins der Bilder.
