,src,hyp_bi,hyp_uni_waco,ref
170,"For those of you who are truly interested in art, you can click this — but I'm going to click this off right now.","Para aquellos de ustedes que están realmente interesados en arte, pueden hacer clic en esto, pero voy a hacer clic en esto ahora.","Para aquellos de ustedes que realmente estén interesados en el arte, pueden hacer clic en esto, pero ahora voy a apagar esto.","Para aquellos de ustedes que estén verdaderamente interesados en el arte, pueden hacer clic ahí; pero yo voy a hacer clic aquí ahora mismo."
171,"So we formed a team, a great team of people, and we started doing this.","Así que formamos un equipo, un gran equipo de personas, y empezamos a hacer esto.","Así que formamos un equipo, un gran equipo de personas, y empezamos a hacer esto.","Así que formamos un equipo, un gran equipo de personas, y empezamos a hacerlo."
172,"I don't know if you know this, but bacteria can actually exchange DNA.","No sé si lo saben, pero las bacterias pueden intercambiar ADN.","Y quizá lo sepan, pero las bacterias pueden intercambiar genes.","No sé si lo saben, pero las bacterias pueden intercambiar ADN."
173,"When I was a little girl, my grandfather gave me his little silver pocket watch.","Cuando era una niña, mi abuelo me dio su pequeño reloj de bolsillo de plata.","Cuando era una niña, mi abuelo me dio su pequeño reloj de bolsillo de plata.",De niña mi abuelo me regaló su relojito plateado de bolsillo.
174,"And I went through the same period of shame and recriminations and felt cleansed and went back to work, until it happened again and again and again.",Y pasé por el mismo período de vergüenza y recriminaciones y me sentí limpia y volví a trabajar hasta que sucedió otra vez y otra vez y otra vez.,"Y pasé por la misma teoría de la vergüenza y la culpa y me sentí limpia y volví a trabajar, hasta que sucedió otra vez y otra vez y otra vez.","Y atravesé el mismo período de vergüenza y reproches, luego me alivié y regresé a trabajar, hasta que sucedió una y otra vez, y otra vez."
175,"In 1972, there were 300,000 people in jails and prisons.",En 1972 había 300 000 personas en las cárceles.,"En 1972, había 300 000 personas en las cárceles.",En 1972 había 300.000 presos.
176,"Consider, first, the reality that people today, in some cultures, are making choices about their offspring.","Consideren primero la realidad de que la gente hoy, en algunas culturas, está tomando decisiones sobre sus hijos.",Consideren primero la realidad de que la gente hoy en día en algunas culturas está tomando decisiones sobre sus hijos.,"Primero consideremos la realidad de que muchas personas hoy, en algunas culturas, están tomando decisiones respecto de su descendencia."
177,Thank you.,Gracias.,Gracias.,Gracias.
178,"I call it neo-evolution — the new evolution that is not simply natural, but guided and chosen by us as individuals in the choices that we will make.","Lo llamo neo-evolución, la nueva evolución que no es simplemente natural, sino guiada y elegida por nosotros como individuos en las elecciones que haremos.","Lo llamo neo-evolución, la nueva evolución que no es simplemente natural, sino guiada y elegida por nosotros como individuos en las decisiones que tomaremos.","La denomino « neo-evolución », la nueva evolución, que no es simplemente natural... sino guiada y elegida por nosotros como individuos en las decisiones que tomaremos."
179,"And I remember, when I was about eight or nine years old, waking up one morning, going into the living room, and all of my cousins were running around.","Recuerdo que cuando tenía unos ocho o nueve años, una mañana, al entrar en la sala, todos mis primos corrían.","Y recuerdo que cuando tenía unos 8 o 9 años, desperté una mañana, fui a la sala de estar y todos mis primos corrían por ahí.","Recuerdo cuando tenía 8 ó 9 años, me desperté una mañana, me fui a la sala y ahí estaban corriendo todos mis primos."
180,The other thing we did is we flew seven programmers from all over the world — literally every corner of the world — into our house.,"La otra cosa que hicimos fue llevar a siete programadores de todo el mundo, literalmente de cada rincón del mundo, a nuestra casa.","Lo otro que hicimos fue llevar a siete programadores de todo el mundo, literalmente de todos los rincones del mundo, a nuestra casa.",La otra cosa que hicimos fue traer a siete programadores de todo el mundo -literalmente de todos los rincones del planeta- a nuestra casa.
181,Now we do the same with airplanes.,Ahora hacemos lo mismo con los aviones.,Ahora hacemos lo mismo con los planeadores.,Ahora lo hacemos con aviones.
182,And these women would get together and just talk.,Estas mujeres se reunían y hablaban.,Y estas mujeres se reunían y hablaban.,Estas mujeres se reunían simplemente para hablar.
183,I was giving some lectures in Germany about the death penalty.,Estaba dando una conferencia en Alemania sobre la pena de muerte.,"Estaba dando esta conferencia en Alemania, algunas conferencias en Alemania sobre la pena de muerte.",Estuve en Alemania dando conferencias sobre la pena de muerte.
184,"If you have something to give, give it now.","Si tienen algo que dar, denlo ahora.","Si tienen algo que dar, denlo ahora.","Si tienen algo para dar, denlo ahora."
185,So it's feeding back on itself.,Así que se está devorándose a sí mismo.,Está comiendo de sí mismo.,"O sea, se retroalimenta."
186,"Now I'm going to describe to you a study I did with Gur Huberman, Emir Kamenica, Wei Jang where we looked at the retirement savings decisions of nearly a million Americans from about 650 plans all in the U.S. And what we looked at was whether the number of fund offerings available in a retirement savings plan, the 401 (k) plan, does that affect people's likelihood to save more for tomorrow.","Este es el estudio que hice con Gur Huberman, y ahora voy a describirles un estudio que hice con Gur Huberman, Amir Kaminsky, Wei Jiang, donde observamos las decisiones de ahorro de retiro de casi un millón de estadounidenses de cerca de 650 planes, todos en EE.UU. Y lo que observamos fue si el número de ofertas de fondos disponibles en un plan de retiro, el plan 403 (b), no afecta la probabilidad de que la gente ahorre más para mañana.","Este es un estudio que hice con Gur Huberman, Amikam Nachmani y Yaacov Gani, donde observamos las decisiones de ahorro de retiro de casi un millón de estadounidenses de unos 650 planes, todos en EE.UU. Y lo que observamos fue el número de fondos disponibles en un plan de retiro, un plan 403 (b), si eso afecta la probabilidad de que la gente ahorre más para el futuro.","Voy a describirles un estudio que hice con Gur Huberman, Emir Kamenica y Wei Jang, en el que observamos las decisiones sobre ahorros para la jubilación de cerca de un millón de estadounidenses, de entre unos 650 planes de este país. Nos interesaba ver si el número de ofertas de fondos disponibles en planes de ahorros para jubilación, el programa 401 (k), desmotivaba a la gente a ahorrar para el futuro."
187,MS: And that's a multi-million dollar corporation. What about me? What about a regular guy?,Y esa es una corporación multimillonaria. ¿Qué pasa conmigo? ¿Qué pasa con un tipo normal?,Y esa es una corporación multimillonaria. ¿Qué pasa conmigo? ¿Qué pasa con un tipo normal?,MS: Y esa es una empresa multimillonaria. ¿Qué hay de mí? ¿Qué hay de un tipo común?
188,"And I started working on this motion, and the head of the motion was: ""Motion to try my poor, 14-year-old black male client like a privileged, white 75-year-old corporate executive.""","Y empecé a trabajar en este movimiento, y la cabeza del movimiento era un movimiento para tratar a mi pobre cliente negro de 14 años como un ejecutivo corporativo blanco privilegiado de 75 años.","Así que empezamos este movimiento, y la cabeza del movimiento era un movimiento para tratar a mi pobre cliente negro de 14 años como un privilegiado ejecutivo corporativo blanco de 75 años.","Comencé a trabajar en la moción, con un encabezamiento que decía: ""Moción para que mi cliente negro de 14 años sea tratado como un blanco privilegiado de 75 años, ejecutivo de una corporación""."
189,"I like to smile and say, ""Thank you.""","""Me gusta sonreír y decir: """"Gracias"""".""",Me gusta sonreír y decir gracias.,"Me gusta sonreírles y decirles: ""Gracias""."
190,Maybe I didn't want to be a high-maintenance resident.,Tal vez no quería ser un presidente de alto mantenimiento.,Tal vez no quería ser un residente de Himeji.,Quizá no quería ser un residente que requiriera atención constante.
191,You can almost always look phenomenal for under $50.,Puedes casi siempre verse fenomenal con menos de 120.,Casi siempre puedes verse fenomenal con menos.,Casi siempre te puedes ver fenomenal por menos de 50 dólares.
192,"Number one, how smooth it is — through good time and bad time, war time and peace time, recession, depression and boom time.","Número uno: qué tan suave es a través de buenos y malos tiempos, tiempos de guerra y de paz, recesión, depresión y tiempos de auge.","Número uno: lo suave que es. A través de tiempos de paz y tiempos de guerra, de recesión y de auge.","Primero, lo suave que es... en buenos y malos tiempos, en la guerra y en la paz, en recesión, en depresión y en auge."
193,"If all the answers are yes, I feel as though I've won.","Si todas las respuestas son sí, me siento como si hubiera ganado.","20 dólares, si todas las respuestas son sí, me siento como si hubiera ganado.","Si todas las respuestas son positivas, entonces siento que he ganado."
194,These will be irresistible.,Estos serán irresistibles.,Estos serán irresistibles.,Esto va a ser irresistible.
195,"If it stopped twitching, you bury them.","Si deja de moverse, los entierras.","Si se detuvieran a mirarlos, los verían.",Si dejaba de moverse lo enterraban.
196,"Think also, if it were possible ever for you to choose, not simply to choose the sex of your child, but for you in your body to make the genetic adjustments that would cure or prevent diseases. What if you could make the genetic changes to eliminate diabetes or Alzheimer's or reduce the risk of cancer or eliminate stroke? Wouldn't you want to make those changes in your genes?","Piensen también si fuera posible, alguna vez, para Uds., no solo elegir el sexo de su hijo, sino para Uds., en su cuerpo, hacer los ajustes genéticos que curarían o prevenir las enfermedades. ¿Qué pasaría si pudieran hacer los cambios genéticos para eliminar la diabetes, o el Alzheimer, o reducir el riesgo de cáncer, o eliminar los derrame cerebrales? ¿No querrían Uds. hacer esos cambios en sus genes?","Piensen también, si fuera posible, que no solo elijan el sexo de su hijo, sino que en su cuerpo hagan los ajustes genéticos que curarían o preveniran enfermedades. ¿Qué pasaría si pudieran hacer los cambios genéticos para eliminar la diabetes o el Alzheimer o reducir el riesgo de cáncer o evitar el derrame cerebral? ¿No querrían hacer esos cambios en sus genes?","Piensen también que si acaso fuera posible poder elegir no sólo el sexo de su descendencia, sino, en su propio cuerpo hacer los ajustes genéticos para curar o prevenir enfermedades. ¿Y si pudiéramos hacer los cambios genéticos para eliminar la diabetes o el Alzheimer o reducir el riesgo de cáncer o eliminar la apoplejía? ¿No querrían hacer esos cambios en sus genes?"
197,"He said, ""When we were in Eastern Europe and dealing with oppression, we wanted all kinds of things, but mostly what we needed was hope, an orientation of the spirit, a willingness to sometimes be in hopeless places and be a witness.""","""Dijo: """"Cuando estábamos en Europa oriental y tratando con la opresión, queríamos todo tipo de cosas, pero sobre todo lo que necesitábamos era esperanza, una orientación del espíritu, una voluntad de estar a veces en lugares sin esperanza y ser testigo.""","""Él dijo: """"Cuando estábamos en Europa del Este y tratábamos con la opresión, queríamos todo tipo de cosas, pero sobre todo lo que necesitábamos era esperanza y orientación del espíritu, una voluntad de a veces estar en lugares sin esperanza para ser testigo.""","Dijo: ""Cuando estábamos en Europa Oriental sufriendo la opresión, deseábamos toda clase de cosas, pero principalmente lo que necesitábamos era esperanza, orientación para el espíritu, una voluntad por estar en sitios de desesperanza y ser testigos""."
198,"In fact, we now know that sex is complicated enough that we have to admit: Nature doesn't draw the line for us between male and female, or between male and intersex and female and intersex; we actually draw that line on nature.","De hecho, ahora sabemos que el sexo es lo suficientemente complicado que tenemos que admitir que la naturaleza no dibuja la línea entre masculino y femenino, o entre masculino e intersexo y femenino e intersexo.","De hecho, ahora sabemos que el sexo es lo suficientemente complicado que tenemos que admitir que la naturaleza no dibuja las líneas entre masculino y femenino, o entre masculino y intersex y femenino y intersex, en realidad dibujamos esa línea en la naturaleza.","De hecho, ahora sabemos que el sexo es tan complicado que tenemos que admitir que la Naturaleza no traza una línea tajante entre hombres y mujeres o entre hombres e intersexuales y mujeres e intersexuales; somos nosotros quienes trazamos esa línea."
199,"When I think about creating abundance, it's not about creating a life of luxury for everybody on this planet; it's about creating a life of possibility.","Cuando pienso en la creación de abundancia, no se trata de crear una vida de lujo para el planeta, se trata de crear una vida de posibilidades.","Cuando pienso en la abundancia, no se trata de crear una vida de lujo para el planeta Tierra, se trata de crear una vida de posibilidades.","Cuando pienso en crear abundancia, no significa crear vida lujosa para cada habitante del planeta; se trata de crear una vida de lo posible."
